date,long_name,player,notes,injury,team
2010-12-01,Canadiens,Andrei Markov,placed on IR with right knee injury (surgery) (out for season),ul,MTL
2010-12-28,Canadiens,Josh Gorges,placed on IR with right knee injury (surgery) (out for season),ul,MTL
2011-01-19,Canadiens,Michael Cammalleri,placed on IR with separated left shoulder,torso,MTL
2011-02-15,Canadiens,Jaroslav Spacek,placed on IR with lower body injury,torso,MTL
2011-02-17,Canadiens,Hal Gill,placed on IR with upper body injury,torso,MTL
2011-02-20,Canadiens,Mathieu Darche,placed on IR with groin injury,ul,MTL
2011-02-20,Canadiens,Hal Gill,activated from IR,activated from IR,MTL
2011-02-20,Canadiens,Michael Cammalleri,activated from IR,activated from IR,MTL
2011-03-12,Canadiens,Max Pacioretty,placed on IR with fractured vertebrae in neck (out for season),head,MTL
2011-03-24,Canadiens,Mathieu Darche,activated from IR,activated from IR,MTL
2011-04-07,Canadiens,Jaroslav Spacek,activated from IR,activated from IR,MTL
2011-10-05,Canadiens,Andrei Markov,placed on IR with right knee injury,ul,MTL
2011-10-05,Canadiens,Brendon Nash,placed on IR with surgery on shoulder (out for season),torso,MTL
2011-10-05,Canadiens,Lars Eller,placed on IR with surgery on right shoulder,torso,MTL
2011-10-05,Canadiens,Ryan White,placed on IR with groin/hernia injury,torso,MTL
2011-10-07,Canadiens,Chris Campoli,placed on IR with left leg injury,ll,MTL
2011-10-13,Canadiens,Lars Eller,activated from IR,activated from IR,MTL
2011-10-22,Canadiens,Scott Gomez,placed on IR with upper body injury,torso,MTL
2011-11-12,Canadiens,Scott Gomez,activated from IR,activated from IR,MTL
2011-11-16,Canadiens,Andrei Kostitsyn,placed on IR with lower body injury,torso,MTL
2011-11-25,Canadiens,Andreas Engqvist,placed on IR with lower body injury,torso,MTL
2011-11-25,Canadiens,Jaroslav Spacek,placed on IR with upper body injury,torso,MTL
2011-11-25,Canadiens,Scott Gomez,placed on IR with groin injury,ul,MTL
2011-11-26,Canadiens,Andrei Kostitsyn,activated from IR,activated from IR,MTL
2011-12-05,Canadiens,Andreas Engqvist,activated from IR,activated from IR,MTL
2011-12-08,Canadiens,Jaroslav Spacek,activated from IR,activated from IR,MTL
2011-12-13,Canadiens,Brian Gionta,placed on IR with lower body injury,torso,MTL
2011-12-13,Canadiens,Chris Campoli,activated from IR,activated from IR,MTL
2012-01-07,Canadiens,Brian Gionta,activated from IR,activated from IR,MTL
2012-01-14,Canadiens,Brian Gionta,placed on IR recovering from surgery to repair torn right biceps (out for season),ua,MTL
2012-01-14,Canadiens,Scott Gomez,activated from IR,activated from IR,MTL
2012-01-25,Canadiens,Petteri Nokelainen,placed on IR with leg injury,ll,MTL
2012-02-03,Canadiens,Mike Blunden,placed on IR with lower body injury,torso,MTL
2012-02-04,Canadiens,Travis Moen,placed on IR with upper body injury,torso,MTL
2012-02-06,Canadiens,Ryan White,activated from IR,activated from IR,MTL
2012-02-07,Canadiens,Travis Moen,activated from IR,activated from IR,MTL
2012-02-13,Canadiens,Yannick Weber,placed on IR with lower body injury,torso,MTL
2012-02-17,Canadiens,Yannick Weber,activated from IR,activated from IR,MTL
2012-02-19,Canadiens,Travis Moen,placed on IR with upper body injury (out for season),torso,MTL
2012-02-24,Canadiens,Petteri Nokelainen,activated from IR,activated from IR,MTL
2012-03-06,Canadiens,Mathieu Darche,placed on IR with dizziness (out for season),head,MTL
2012-03-10,Canadiens,Raphael Diaz,placed on IR with lower body injury (out for season),torso,MTL
2012-03-10,Canadiens,Andrei Markov,activated from IR,activated from IR,MTL
2012-03-16,Canadiens,Mike Blunden,activated from IR,activated from IR,MTL
2012-03-23,Canadiens,Scott Gomez,placed on IR with concussion (out for season),head,MTL
2012-03-30,Canadiens,Yannick Weber,placed on IR with lower body injury (out for season),torso,MTL
2013-01-19,Canadiens,Aaron Palushaj,placed on IR with shoulder injury,torso,MTL
2013-01-19,Canadiens,Petteri Nokelainen,placed on IR with back injury,torso,MTL
2013-01-26,Canadiens,Max Pacioretty,placed on IR with appendectomy,torso,MTL
2013-02-03,Canadiens,Max Pacioretty,activated from IR,activated from IR,MTL
2013-02-27,Canadiens,Rene Bourque,placed on IR with concussion,head,MTL
2013-03-02,Canadiens,Raphael Diaz,placed on IR with concussion,head,MTL
2013-03-12,Canadiens,Yannick Weber,placed on IR with knee injury,ul,MTL
2013-03-15,Canadiens,Petteri Nokelainen,activated from IR,activated from IR,MTL
2013-03-16,Canadiens,Brandon Prust,placed on IR with separated shoulder,torso,MTL
2013-03-27,Canadiens,Ryan White,placed on IR with lower body injury,torso,MTL
2013-03-27,Canadiens,Yannick Weber,activated from IR,activated from IR,MTL
2013-03-30,Canadiens,Brandon Prust,activated from IR,activated from IR,MTL
2013-04-02,Canadiens,Colby Armstrong,placed on IR with lower body injury,torso,MTL
2013-04-03,Canadiens,Ryan White,activated from IR,activated from IR,MTL
2013-04-09,Canadiens,Rene Bourque,activated from IR,activated from IR,MTL
2013-04-18,Canadiens,Colby Armstrong,activated from IR,activated from IR,MTL
2013-04-20,Canadiens,Raphael Diaz,activated from IR,activated from IR,MTL
2013-04-23,Canadiens,Colby Armstrong,activated from IR (CBC TSN),activated from IR (CBC TSN),MTL
2013-09-30,Canadiens,Davis Drewiske,placed on IR with shoulder injury,torso,MTL
2013-09-30,Canadiens,Douglas Murray,placed on IR with upper body injury,torso,MTL
2013-10-01,Canadiens,Alexei Emelin,placed on IR recovering from surgery on right knee,ul,MTL
2013-10-01,Canadiens,Nathan Beaulieu,placed on IR with surgery on left shoulder,torso,MTL
2013-10-20,Canadiens,Brandon Prust,placed on IR with shoulder injury,torso,MTL
2013-10-20,Canadiens,Daniel Briere,placed on IR with concussion,head,MTL
2013-10-21,Canadiens,Max Pacioretty,placed on IR with left hamstring injury,ul,MTL
2013-10-28,Canadiens,Douglas Murray,activated from IR,activated from IR,MTL
2013-11-01,Canadiens,Travis Moen,placed on IR with facial injury,torso,MTL
2013-11-02,Canadiens,Max Pacioretty,activated from IR,activated from IR,MTL
2013-11-07,Canadiens,Travis Moen,activated from IR,activated from IR,MTL
2013-11-12,Canadiens,Daniel Briere,activated from IR,activated from IR,MTL
2013-11-15,Canadiens,Alexei Emelin,activated from IR,activated from IR,MTL
2013-11-15,Canadiens,Brandon Prust,activated from IR,activated from IR,MTL
2013-12-12,Canadiens,Rene Bourque,placed on IR with upper body injury,torso,MTL
2013-12-17,Canadiens,Rene Bourque,activated from IR,activated from IR,MTL
2014-01-03,Canadiens,Ryan White,placed on IR with upper body injury,torso,MTL
2014-01-07,Canadiens,Alex Galchenyuk,placed on IR with fractured hand,la,MTL
2014-02-04,Canadiens,Ryan White,activated from IR,activated from IR,MTL
2014-02-07,Canadiens,Michael Bournival,placed on IR with concussion,head,MTL
2014-02-08,Canadiens,Travis Moen,placed on IR with lower body injury,torso,MTL
2014-02-26,Canadiens,Brandon Prust,placed on IR with upper body injury,torso,MTL
2014-02-26,Canadiens,Alex Galchenyuk,activated from IR,activated from IR,MTL
2014-02-26,Canadiens,Travis Moen,activated from IR,activated from IR,MTL
2014-03-02,Canadiens,Carey Price,placed on IR with lower body injury,torso,MTL
2014-03-03,Canadiens,Davis Drewiske,activated from IR,activated from IR,MTL
2014-03-12,Canadiens,Brandon Prust,activated from IR,activated from IR,MTL
2014-03-15,Canadiens,Carey Price,activated from IR,activated from IR,MTL
2014-03-24,Canadiens,Michael Bournival,activated from IR,activated from IR,MTL
2014-11-06,Canadiens,Michael Bournival,placed on IR with shoulder injury,torso,MTL
2014-12-09,Canadiens,Michael Bournival,activated from IR,activated from IR,MTL
2014-12-15,Canadiens,Mike Weaver,placed on IR with concussion,head,MTL
2014-12-20,Canadiens,Mike Weaver,activated from IR,activated from IR,MTL
2014-12-23,Canadiens,Bryan Allen,activated from IR,activated from IR,MTL
2015-01-10,Canadiens,Pierre-Alexandre Parenteau,placed on IR with upper body injury,torso,MTL
2015-01-14,Canadiens,Pierre-Alexandre Parenteau,activated from IR,activated from IR,MTL
2015-01-17,Canadiens,Pierre-Alexandre Parenteau,placed on IR with upper body injury,torso,MTL
2015-02-19,Canadiens,Sergei Gonchar,placed on IR with upper body injury,torso,MTL
2015-02-24,Canadiens,Alexei Emelin,placed on IR with upper body injury,torso,MTL
2015-02-28,Canadiens,Sergei Gonchar,activated from IR,activated from IR,MTL
2015-03-02,Canadiens,Pierre-Alexandre Parenteau,activated from IR,activated from IR,MTL
2015-03-02,Canadiens,Sergei Gonchar,activated from IR (S),activated from IR (S),MTL
2015-03-16,Canadiens,Alexei Emelin,activated from IR,activated from IR,MTL
2015-11-01,Canadiens,Carey Price,placed on IR with lower body injury,torso,MTL
2015-11-19,Canadiens,Alexei Emelin,placed on IR with lower body injury,torso,MTL
2015-11-19,Canadiens,Carey Price,activated from IR,activated from IR,MTL
2015-11-20,Canadiens,Torrey Mitchell,placed on IR with lower body injury,torso,MTL
2015-11-23,Canadiens,Brendan Gallagher,placed on IR with fractured fingers,la,MTL
2015-11-25,Canadiens,Alexei Emelin,activated from IR,activated from IR,MTL
2015-11-26,Canadiens,Alexander Semin,placed on IR with lower body injury,torso,MTL
2015-11-26,Canadiens,Carey Price,placed on IR with leg injury (out for season),ll,MTL
2015-12-03,Canadiens,Michael Bournival,activated from IR,activated from IR,MTL
2015-12-05,Canadiens,Devante Smith-Pelly,placed on IR with lower body injury,torso,MTL
2015-12-07,Canadiens,Devante Smith-Pelly,placed on IR with lower body injury (CBC),torso,MTL
2015-12-08,Canadiens,Alexander Semin,activated from IR,activated from IR,MTL
2015-12-15,Canadiens,Torrey Mitchell,activated from IR,activated from IR,MTL
2015-12-22,Canadiens,Tom Gilbert,placed on IR with upper body injury / lower body injury (S Y),torso,MTL
2015-12-22,Canadiens,Devante Smith-Pelly,activated from IR,activated from IR,MTL
2015-12-26,Canadiens,Tom Gilbert,placed on IR with lower body injury (CBC),torso,MTL
2015-12-31,Canadiens,Brendan Gallagher,activated from IR,activated from IR,MTL
2016-01-01,Canadiens,Dale Weise,placed on IR with upper body injury,torso,MTL
2016-01-16,Canadiens,Dale Weise,activated from IR,activated from IR,MTL
2016-01-20,Canadiens,Paul Byron,placed on IR with lower body injury,torso,MTL
2016-01-26,Canadiens,Daniel Carr,placed on IR with lower body injury,torso,MTL
2016-02-02,Canadiens,Tom Gilbert,activated from IR,activated from IR,MTL
2016-02-06,Canadiens,Lucas Lessio,placed on IR with lower body injury,torso,MTL
2016-02-09,Canadiens,Jeff Petry,placed on IR with sports hernia (out for season),torso,MTL
2016-02-10,Canadiens,Brian Flynn,placed on IR with lower body injury,torso,MTL
2016-02-12,Canadiens,Jeff Petry,placed on IR with sports hernia (CBC) (out for season),torso,MTL
2016-02-12,Canadiens,Paul Byron,activated from IR,activated from IR,MTL
2016-02-17,Canadiens,Lucas Lessio,activated from IR,activated from IR,MTL
2016-02-19,Canadiens,David Desharnais,placed on IR with lower body injury,torso,MTL
2016-02-20,Canadiens,Tom Gilbert,placed on IR with surgery on left knee (CBS S Y) (out for season),ul,MTL
2016-02-23,Canadiens,Nathan Beaulieu,placed on IR with lower body injury,torso,MTL
2016-02-23,Canadiens,Tom Gilbert,placed on IR with surgery on left knee (CBC) (out for season),ul,MTL
2016-02-27,Canadiens,Nathan Beaulieu,placed on IR with lower body injury,torso,MTL
2016-03-16,Canadiens,Nathan Beaulieu,activated from IR,activated from IR,MTL
2016-03-23,Canadiens,David Desharnais,activated from IR,activated from IR,MTL
2016-04-02,Canadiens,Daniel Carr,activated from IR,activated from IR,MTL
2016-04-07,Canadiens,Brian Flynn,activated from IR,activated from IR,MTL
2016-10-10,Canadiens,Jeff Petry,placed on IR with knee injury,ul,MTL
2016-10-15,Canadiens,Jeff Petry,activated from IR,activated from IR,MTL
2016-10-20,Canadiens,Zach Redmond,placed on IR with fractured foot,ll,MTL
2016-10-20,Canadiens,Carey Price,activated from IR,activated from IR,MTL
2016-11-07,Canadiens,Artturi Lehkonen,placed on IR with upper body injury,torso,MTL
2016-11-18,Canadiens,Brian Flynn,placed on IR with upper body injury,torso,MTL
2016-11-23,Canadiens,Nathan Beaulieu,placed on IR with neck injury,head,MTL
2016-11-26,Canadiens,Charles Hudon,placed on IR with fractured sternum,torso,MTL
2016-11-26,Canadiens,Nathan Beaulieu,placed on IR with neck injury,head,MTL
2016-11-26,Canadiens,Artturi Lehkonen,activated from IR,activated from IR,MTL
2016-11-26,Canadiens,Zach Redmond,activated from IR,activated from IR,MTL
2016-12-02,Canadiens,Brian Flynn,activated from IR,activated from IR,MTL
2016-12-07,Canadiens,David Desharnais,placed on IR with knee injury,ul,MTL
2016-12-07,Canadiens,Charles Hudon,activated from IR,activated from IR,MTL
2016-12-08,Canadiens,Alex Galchenyuk,placed on IR with lower body injury,torso,MTL
2016-12-08,Canadiens,Greg Pateryn,placed on IR with fractured ankle,ll,MTL
2016-12-08,Canadiens,Nathan Beaulieu,activated from IR,activated from IR,MTL
2016-12-16,Canadiens,Andrew Shaw,placed on IR with concussion,head,MTL
2016-12-20,Canadiens,Andrew Shaw,placed on IR with concussion,head,MTL
2016-12-22,Canadiens,Andrei Markov,placed on IR with lower body injury,torso,MTL
2017-01-05,Canadiens,Brendan Gallagher,placed on IR with fractured right hand,la,MTL
2017-01-14,Canadiens,Alex Galchenyuk,activated from IR,activated from IR,MTL
2017-01-14,Canadiens,Andrew Shaw,activated from IR,activated from IR,MTL
2017-01-31,Canadiens,Alex Galchenyuk,placed on IR with knee injury,ul,MTL
2017-01-31,Canadiens,Andrei Markov,activated from IR,activated from IR,MTL
2017-01-31,Canadiens,David Desharnais,activated from IR,activated from IR,MTL
2017-01-31,Canadiens,Greg Pateryn,activated from IR,activated from IR,MTL
2017-02-01,Canadiens,Alex Galchenyuk,activated from IR,activated from IR,MTL
2017-02-12,Canadiens,Brendan Gallagher,activated from IR,activated from IR,MTL
2007-03-02,Canadiens,Alexander Perezhogin,head injury (DTD),head,MTL
2007-10-18,Canadiens,Garth Murray,fractured ankle (out indefinitely),ll,MTL
2007-10-30,Canadiens,Francis Bouillon,shoulder injury (DTD),torso,MTL
2007-11-08,Canadiens,Guillaume Latendresse,back injury (DTD),torso,MTL
2007-12-03,Canadiens,Cristobal Huet,groin injury (DTD),ul,MTL
2007-12-07,Canadiens,Bryan Smolinski,knee injury (out indefinitely),ul,MTL
2007-12-07,Canadiens,Steve Begin,shoulder injury (DTD),torso,MTL
2007-12-13,Canadiens,Patrice Brisebois,shoulder injury (DTD),torso,MTL
2007-12-15,Canadiens,Guillaume Latendresse,upper body injury (DTD),torso,MTL
2007-12-29,Canadiens,Ryan O'Byrne,thumb injury (DTD),la,MTL
2008-01-04,Canadiens,Ryan O'Byrne,broken thumb (out 5-7 weeks),la,MTL
2008-02-21,Canadiens,Steve Begin,groin injury (DTD),ul,MTL
2008-03-01,Canadiens,Steve Begin,groin injury (DTD),ul,MTL
2008-03-22,Canadiens,Guillaume Latendresse,neck injury (DTD),head,MTL
2008-03-22,Canadiens,Mike Komisarek,lower body injury (out 2-3 weeks),torso,MTL
2008-03-29,Canadiens,Mark Streit,foot injury (DTD),ll,MTL
2008-03-29,Canadiens,Saku Koivu,left foot injury (DTD),ll,MTL
2008-04-01,Canadiens,Francis Bouillon,right ankle injury (DTD),ll,MTL
2008-04-03,Canadiens,Michael Ryder,leg injury (DTD),ll,MTL
2008-04-17,Canadiens,Mark Streit,hip injury (DTD),ul,MTL
2008-04-28,Canadiens,Patrice Brisebois,leg injury (DTD),ll,MTL
2008-09-21,Canadiens,Georges Laraque,strained groin (DTD),ul,MTL
2008-09-25,Canadiens,Mathieu Carle,head injury (out indefinitely),head,MTL
2008-10-08,Canadiens,Francis Bouillon,leg injury (out indefinitely),ll,MTL
2008-10-10,Canadiens,Chris Higgins,groin injury (DTD),ul,MTL
2008-10-18,Canadiens,Andrei Kostitsyn,head injury (out indefinitely),head,MTL
2008-10-20,Canadiens,Georges Laraque,groin injury (DTD),ul,MTL
2008-10-29,Canadiens,Roman Hamrlik,foot injury (DTD),ll,MTL
2008-11-15,Canadiens,Mike Komisarek,hand injury (DTD),la,MTL
2008-11-16,Canadiens,Francis Bouillon,groin injury (DTD),ul,MTL
2008-11-22,Canadiens,Guillaume Latendresse,shoulder injury (DTD),torso,MTL
2008-11-26,Canadiens,Georges Laraque,groin injury (DTD),ul,MTL
2008-11-28,Canadiens,Alex Tanguay,whiplash (DTD),ul,MTL
2008-12-09,Canadiens,Chris Higgins,hand injury (out indefinitely),la,MTL
2008-12-09,Canadiens,Mathieu Dandenault,broken arm (out indefinitely),ua,MTL
2008-12-11,Canadiens,Saku Koivu,foot injury (DTD),ll,MTL
2008-12-13,Canadiens,Georges Laraque,groin injury (DTD),ul,MTL
2008-12-19,Canadiens,Andrei Kostitsyn,lower body injury (DTD),torso,MTL
2008-12-27,Canadiens,Georges Laraque,groin injury (DTD),ul,MTL
2009-01-01,Canadiens,Alex Tanguay,separated left shoulder (DTD),torso,MTL
2009-01-02,Canadiens,Carey Price,groin / lower body injury (DTD),torso,MTL
2009-02-01,Canadiens,Josh Gorges,head injury (DTD),head,MTL
2009-02-02,Canadiens,Robert Lang,torn left Achilles tendon (out for season),ll,MTL
2009-02-03,Canadiens,Patrice Brisebois,lower body injury (DTD),torso,MTL
2009-03-05,Canadiens,Georges Laraque,back injury (out indefinitely),torso,MTL
2009-04-02,Canadiens,Sergei Kostitsyn,upper body injury (DTD),torso,MTL
2009-04-04,Canadiens,Andrei Kostitsyn,facial injury (DTD),torso,MTL
2009-04-04,Canadiens,Andrei Markov,head injury (DTD),head,MTL
2009-04-04,Canadiens,Mathieu Schneider,upper body injury (DTD),torso,MTL
2009-04-20,Canadiens,Alex Tanguay,upper body injury (DTD),torso,MTL
2009-04-20,Canadiens,Francis Bouillon,groin injury (DTD),ul,MTL
2009-04-20,Canadiens,Mathieu Schneider,upper body injury (DTD),torso,MTL
2009-09-21,Canadiens,Alex Henry,fractured hand (out indefinitely),la,MTL
2009-09-30,Canadiens,Kyle Chipchura,surgury on shoulder (out indefinitely),torso,MTL
2009-10-06,Canadiens,Glen Metropolit,rib injury (DTD),torso,MTL
2009-10-30,Canadiens,Matt D'Agostini,head injury (DTD),head,MTL
2009-11-02,Canadiens,Georges Laraque,back injury (DTD),torso,MTL
2009-11-14,Canadiens,Brian Gionta,broken bone in left foot (DTD),ll,MTL
2009-11-21,Canadiens,Scott Gomez,lower body injury (DTD),torso,MTL
2009-11-24,Canadiens,Jaroslav Spacek,lower body injury (DTD),torso,MTL
2009-11-25,Canadiens,Andrei Kostitsyn,leg injury (DTD),ll,MTL
2009-12-08,Canadiens,Paul Mara,upper body injury (DTD),torso,MTL
2009-12-13,Canadiens,Marc-Andre Bergeron,facial injury (DTD),torso,MTL
2009-12-17,Canadiens,Roman Hamrlik,knee injury (DTD),ul,MTL
2009-12-23,Canadiens,Paul Mara,left hand/wrist injury (DTD),la,MTL
2010-01-03,Canadiens,Andrei Kostitsyn,surgery on left knee (DTD),ul,MTL
2010-01-03,Canadiens,Sergei Kostitsyn,lower body injury (DTD),torso,MTL
2010-01-09,Canadiens,Georges Laraque,upper body injury (DTD),torso,MTL
2010-01-23,Canadiens,Paul Mara,upper body injury (DTD),torso,MTL
2010-01-30,Canadiens,Jaroslav Spacek,upper body injury (DTD),torso,MTL
2010-01-30,Canadiens,Michael Cammalleri,sprained MCL in right knee (DTD),ul,MTL
2010-02-12,Canadiens,Andrei Markov,lower body injury (DTD),torso,MTL
2010-03-04,Canadiens,Paul Mara,upper body injury (DTD),torso,MTL
2010-03-19,Canadiens,Paul Mara,surgery on shoulder (out for season),torso,MTL
2010-03-22,Canadiens,Travis Moen,facial laceration (DTD),torso,MTL
2010-03-28,Canadiens,Glen Metropolit,separated shoulder (out indefinitely),torso,MTL
2010-04-01,Canadiens,Sergei Kostitsyn,lower body injury (DTD),torso,MTL
2010-05-01,Canadiens,Andrei Markov,torn ACL in right knee (out for season),ul,MTL
2010-05-08,Canadiens,Hal Gill,leg laceration (DTD),ll,MTL
2010-09-17,Canadiens,Andrei Markov,recovering from surgery on right knee to repair torn ACL (out indefinitely),ul,MTL
2010-10-07,Canadiens,Roman Hamrlik,knee injury (DTD),ul,MTL
2010-11-13,Canadiens,Andrei Markov,right knee injury (out for season),ul,MTL
2010-12-08,Canadiens,Scott Gomez,lower body injury (DTD),torso,MTL
2011-01-19,Canadiens,Max Pacioretty,rib injury (out indefinitely),torso,MTL
2011-01-20,Canadiens,Jeff Halpern,upper body injury (DTD),torso,MTL
2011-03-09,Canadiens,Max Pacioretty,"concussion, fractured vertebrae in neck (out indefinitely)",head,MTL
2011-03-10,Canadiens,Brent Sopel,left hand injury (DTD),la,MTL
2011-03-16,Canadiens,Jeff Halpern,lower body injury (DTD),torso,MTL
2011-03-16,Canadiens,Tomas Plekanec,lower body injury (DTD),torso,MTL
2011-03-24,Canadiens,Alexandre Picard,foot injury (out for season),ll,MTL
2011-04-02,Canadiens,Jeff Halpern,lower body injury (DTD),torso,MTL
2011-04-16,Canadiens,Andrei Kostitsyn,foot injury (DTD),ll,MTL
2011-04-26,Canadiens,David Desharnais,sprained left knee (out for season),ul,MTL
2011-10-06,Canadiens,Blair Betts,lower body injury (DTD),torso,MTL
2011-10-09,Canadiens,Michael Cammalleri,lacerated left leg (out indefinitely),ll,MTL
2011-10-10,Canadiens,Jaroslav Spacek,upper body injury (DTD),torso,MTL
2011-11-07,Canadiens,Andrei Kostitsyn,lower body injury (DTD),torso,MTL
2011-11-10,Canadiens,Michael Cammalleri,lower body injury (DTD),torso,MTL
2011-11-14,Canadiens,Michael Cammalleri,lower body injury (DTD),torso,MTL
2011-11-16,Canadiens,Andreas Engqvist,lower body injury (DTD),torso,MTL
2011-11-16,Canadiens,Jaroslav Spacek,upper body injury (DTD),torso,MTL
2011-12-09,Canadiens,Brian Gionta,lower body injury (DTD),torso,MTL
2011-12-10,Canadiens,Brian Gionta,arm injury (DTD),ua,MTL
2011-12-14,Canadiens,Travis Moen,foot injury (DTD),ll,MTL
2012-01-11,Canadiens,Brian Gionta,surgery to repair torn right biceps (DTD),ua,MTL
2012-01-24,Canadiens,Travis Moen,upper body injury (DTD),torso,MTL
2012-02-09,Canadiens,Yannick Weber,lower body injury (DTD),torso,MTL
2012-02-11,Canadiens,Travis Moen,upper body injury (DTD),torso,MTL
2012-02-24,Canadiens,Mathieu Darche,dizziness (DTD),head,MTL
2012-03-03,Canadiens,Aaron Palushaj,eye injury (DTD),head,MTL
2012-03-03,Canadiens,Scott Gomez,right eye injury (DTD),head,MTL
2012-03-06,Canadiens,Raphael Diaz,lower body injury (DTD),torso,MTL
2012-03-08,Canadiens,David Desharnais,lower body injury (DTD),torso,MTL
2012-03-13,Canadiens,Scott Gomez,concussion (DTD),head,MTL
2012-03-14,Canadiens,Alexei Emelin,upper body injury (DTD),torso,MTL
2012-03-16,Canadiens,Andrei Markov,upper body injury (DTD),torso,MTL
2012-03-23,Canadiens,Yannick Weber,lower body injury (DTD),torso,MTL
2012-04-02,Canadiens,Carey Price,headache / concussion (out for season),head,MTL
2012-04-04,Canadiens,Petteri Nokelainen,upper body injury (out for season),torso,MTL
2012-04-04,Canadiens,Ryan White,headaches (out for season),head,MTL
2013-01-27,Canadiens,Tomas Kaberle,facial injury (DTD),torso,MTL
2013-02-07,Canadiens,Travis Moen,lower body injury (DTD),torso,MTL
2013-02-17,Canadiens,Brendan Gallagher,concussion (DTD),head,MTL
2013-02-23,Canadiens,Rene Bourque,flu / concussion (CBC) (DTD),head,MTL
2013-02-27,Canadiens,Raphael Diaz,concussion (DTD),head,MTL
2013-03-10,Canadiens,Brandon Prust,separated shoulder (DTD),torso,MTL
2013-03-16,Canadiens,Michael Ryder,lower body injury (DTD),torso,MTL
2013-03-22,Canadiens,Ryan White,lower body injury (DTD),torso,MTL
2013-04-04,Canadiens,Tomas Plekanec,groin injury (DTD),ul,MTL
2013-04-07,Canadiens,Alexei Emelin,torn ligament in left knee (out for season),ul,MTL
2013-04-11,Canadiens,Yannick Weber,knee injury (DTD),ul,MTL
2013-04-15,Canadiens,Brandon Prust,elbow injury (DTD),ua,MTL
2013-04-17,Canadiens,Michael Ryder,upper body injury (DTD),torso,MTL
2013-04-18,Canadiens,Brandon Prust,shoulder injury (DTD),torso,MTL
2013-05-03,Canadiens,Brian Gionta,upper body injury (DTD),torso,MTL
2013-05-03,Canadiens,Lars Eller,concussion (out for season),head,MTL
2013-05-03,Canadiens,Max Pacioretty,upper body injury (DTD),torso,MTL
2013-05-07,Canadiens,Brian Gionta,torn left biceps (out for season),ua,MTL
2013-05-07,Canadiens,Ryan White,upper body injury (out for season),torso,MTL
2013-05-08,Canadiens,Brandon Prust,upper body injury (out for season),torso,MTL
2013-05-08,Canadiens,Carey Price,lower body injury (out for season),torso,MTL
2013-09-19,Canadiens,Davis Drewiske,shoulder injury (DTD),torso,MTL
2013-10-02,Canadiens,George Parros,concussion (DTD),head,MTL
2013-10-05,Canadiens,Max Pacioretty,left wrist injury (DTD),la,MTL
2013-10-16,Canadiens,Max Pacioretty,left hamstring injury (DTD),ul,MTL
2013-10-19,Canadiens,Daniel Briere,concussion (out indefinitely),head,MTL
2013-10-28,Canadiens,Travis Moen,facial injury (DTD),torso,MTL
2013-11-19,Canadiens,Rene Bourque,lower body injury (DTD),torso,MTL
2013-11-28,Canadiens,Douglas Murray,facial injury (DTD),torso,MTL
2013-12-04,Canadiens,Rene Bourque,lower (CBC) / upper (Y) body injury (DTD),torso,MTL
2013-12-15,Canadiens,George Parros,concussion (out indefinitely),head,MTL
2013-12-20,Canadiens,Josh Gorges,lower body injury (DTD),torso,MTL
2014-01-18,Canadiens,Douglas Murray,lower body injury (DTD),torso,MTL
2014-02-04,Canadiens,Travis Moen,lower body injury (DTD),torso,MTL
2014-02-26,Canadiens,Carey Price,lower body injury (DTD),torso,MTL
2014-03-06,Canadiens,Josh Gorges,fractured hand (DTD),la,MTL
2014-03-20,Canadiens,Brandon Prust,shoulder injury (out indefinitely),torso,MTL
2014-03-24,Canadiens,Lars Eller,knee injury (DTD),ul,MTL
2014-03-25,Canadiens,Dale Weise,upper body injury (DTD),torso,MTL
2014-03-25,Canadiens,Travis Moen,concussion (DTD),head,MTL
2014-04-10,Canadiens,Alex Galchenyuk,lower body injury (DTD),torso,MTL
2014-05-06,Canadiens,Brandon Prust,shoulder injury (DTD),torso,MTL
2014-05-18,Canadiens,Carey Price,sprained right knee (out for season),ul,MTL
2014-05-27,Canadiens,Alexei Emelin,lower body injury (out for season),torso,MTL
2014-05-27,Canadiens,Dale Weise,concussion (out for season),head,MTL
2014-10-11,Canadiens,Alexei Emelin,upper body injury (DTD),torso,MTL
2014-11-18,Canadiens,Mike Weaver,upper body injury (DTD),torso,MTL
2014-12-06,Canadiens,Lars Eller,upper body injury (DTD),torso,MTL
2015-01-03,Canadiens,Pierre-Alexandre Parenteau,upper body injury (DTD),torso,MTL
2015-01-14,Canadiens,Mike Weaver,concussion (out indefinitely),head,MTL
2015-01-16,Canadiens,Carey Price,upper body injury (DTD),torso,MTL
2015-02-15,Canadiens,Sergei Gonchar,upper body injury (DTD),torso,MTL
2015-02-19,Canadiens,Alexei Emelin,upper body injury (DTD),torso,MTL
2015-03-04,Canadiens,Pierre-Alexandre Parenteau,upper body injury (DTD),torso,MTL
2015-03-15,Canadiens,Torrey Mitchell,arm injury (DTD),ua,MTL
2015-03-17,Canadiens,Brian Flynn,upper body injury (DTD),torso,MTL
2015-03-24,Canadiens,Tom Gilbert,jaw injury (DTD),head,MTL
2015-04-06,Canadiens,Max Pacioretty,head injury (DTD),head,MTL
2015-04-09,Canadiens,Tom Gilbert,upper body injury (out for season),torso,MTL
